P,N,E,Z,D (km post
251,742410.2129,651536.4305,0,233.4
252,742749.5562,651325.5818,0,233.8
253,742838.999,651280.8605,0,233.9
254,743094.7174,651125.3143,0,234.2
255,743639.8781,651228.2951,0,234.8
256,744808.1975,650590.0053,0,236.2
257,745194.5326,650486.7901,0,236.6
258,745582.1143,650387.8942,0,237
259,745775.9052,650338.4462,0,237.2
260,746917.1399,649749.7341,0,238.5
261,748106.4644,649781.3465,0,239.7
262,748759.6331,649648.6768,0,240.4
263,748849.84,649691.8361,0,240.5
264,750101.9231,649832.8564,0,241.8
265,751197.8923,649738.7739,0,242.9
266,753806.0934,649408.4875,0,245.7
267,757595.8193,649440.0164,0,249.6
268,758944.0319,649812.6368,0,251
269,759893.6972,650124.655,0,252
270,760288.6124,650151.0301,0,252.4
271,760388.5207,650144.9896,0,252.5
272,761958.9309,649279.1077,0,254.3
273,762291.33,649056.9185,0,254.7
274,763175.9463,648610.0624,0,255.7
275,762893.5035,648711.1865,0,255.4
276,763467.5299,648543.1325,0,256
277,764321.1642,648303.9399,0,256.9
278,764412.1366,648262.4184,0,257
279,764873.0779,648068.9488,0,257.5
280,768213.3762,646726.4739,0,261.1
281,768306.3068,646689.544,0,261.2
282,770856.8386,645339.145,0,264.1
283,770772.8621,645393.4343,0,264
284,771888.8995,644986.9671,0,265.2
285,773320.8211,644110.2581,0,266.9
286,774362.8416,643332.9594,0,268.2
287,779851.4704,642386.5909,0,274
288,780441.3163,642276.6734,0,274.6
289,784320.796,641705.8388,0,278.6
290,784393.8891,641637.5937,0,278.7
291,787072.2836,640059.9826,0,281.9
292,789593.7559,639620.3685,0,284.5
293,792641.7816,638277.2319,0,288
294,795367.8962,636702.6995,0,291.5
295,796037.7419,635709.5005,0,292.7
296,796281.1489,635273.3074,0,293.2
297,799183.3277,632178.1818,0,297.5
298,799266.5327,632122.7117,0,297.6
299,799852.6524,631740.0493,0,298.3
300,800606.8486,631248.9763,0,299.2
301,800773.6287,631138.5934,0,299.4
302,801107.1889,630917.8274,0,299.8
303,801857.6993,630421.1041,0,300.7
304,802441.4297,630034.7637,0,301.4
305,802773.7218,629812.095,0,301.8
306,806274.4116,625445.5966,0,307.8
307,806340.0046,625370.4884,0,307.9
308,806750.9406,624969.8525,0,308.5
309,807132.6151,624530.288,0,309.1
310,807427.8311,624008.1254,0,309.7
311,812724.7361,620106.6935,0,317.9
312,813576.3687,620258.7757,0,318.8
313,813942.873,620103.0333,0,319.2
314,814459.3034,619797.5934,0,319.8
315,814717.3198,619644.5328,0,320.1
316,815062.1536,619441.8638,0,320.5
317,815975.8158,619035.4005,0,321.5
318,816067.1865,618994.7632,0,321.6
319,817073.4801,617852.855,0,323.2
